time,posi_x,posi_y,posi_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_rate,backup
8.340030193328857,0.043825650218966,0.057310772992771,1.548711165087419,-0.096675624553033,0.113395356989468,-0.019542058054194,-1.093746621265276,1.231874021344074,-0.218148208991191,-7.736770600941956,6.665837659739251,-1.939218817406051,1.651255585100863,0.541813880044837,1
8.349989652633667,0.042807260416483,0.058502344219408,1.548505386732940,-0.107956104251469,0.125991831352241,-0.021813471773530,-1.171802314747372,1.297297906589303,-0.238217510542050,-7.931753954924992,6.474634391239874,-2.086653679484443,1.656670927052144,0.545632254591365,1
8.360033035278320,0.041662541219609,0.059834276088523,1.548273927598287,-0.120128167311827,0.139344926569144,-0.024313463871761,-1.252308733294464,1.361426635307930,-0.259816085706882,-8.093959893212341,6.298045377026932,-2.210183475536867,1.662170262109662,0.549452842975486,1
8.370082616806030,0.040390754088881,0.061304367550372,1.548016102032264,-0.133123592913025,0.153341277420954,-0.027037754290398,-1.334189252320632,1.423899954390148,-0.282546912914955,-8.144469380359642,6.140657573308881,-2.310270933215357,1.667712228347582,0.554064060296873,1
8.380611658096313,0.038913522137680,0.062999059204716,1.547715297760844,-0.147620799616545,0.168671627824723,-0.030142457505036,-1.419282182347491,1.487798238909752,-0.307324011739846,-8.017698040496287,5.999057511228755,-2.391986882314408,1.673580080735516,0.560485311826789,1
8.389993667602539,0.037465171028097,0.064647621214368,1.547418683548653,-0.161285895288103,0.182890634962826,-0.033131496284582,-1.493946517584503,1.543530384841443,-0.330024594828278,-7.900098512355242,5.884912757349828,-2.444729874109403,1.678864149863738,0.566060887531853,1
8.400000333786011,0.035774957573046,0.066556193660066,1.547070179581638,-0.176630199119886,0.198630507321922,-0.036557371701159,-1.572360577208604,1.601863481979480,-0.354689564357610,-7.769986487672439,5.774750271019688,-2.481182700843007,1.684558210001706,0.571858072921849,1
8.409989356994629,0.033930725830530,0.068621344620122,1.546686869698386,-0.192723154363853,0.214919160916634,-0.040224793710321,-1.649312707657497,1.659049010838059,-0.379576562667914,-7.635496395289554,5.675879400743743,-2.498187744519282,1.690299180089202,0.577489501674592,1
8.420024394989014,0.031912566891984,0.070862387583438,1.546263710967183,-0.209654967056539,0.231850804154440,-0.044159408129425,-1.725233289610811,1.715547742996478,-0.404652276332977,-7.495953882066715,5.586865232992506,-2.496800259558947,1.696121622815178,0.582989763202670,1
8.430006504058838,0.029732740648293,0.073262962817089,1.545802367882455,-0.227246246121893,0.249251315066783,-0.048322536492519,-1.799342878013392,1.770910020167118,-0.429494275532045,-7.352902592561543,5.507725089447078,-2.478057186268691,1.701967331892624,0.588305600928814,1
8.439995765686035,0.027371498254019,0.075842322752119,1.545297765323178,-0.245584443496856,0.267217387001526,-0.052740491513173,-1.871114278747769,1.825870663360741,-0.455922688799412,-6.921146513530378,5.525354605673354,-2.991272497473991,1.707871410883137,0.593728798260594,1
8.450039148330688,0.024809485510530,0.078619111998475,1.544744541379645,-0.264716455019296,0.285834957216469,-0.057482873894526,-1.937842427647244,1.881653353020502,-0.489668376831274,-6.373084475891277,5.581385564637765,-3.715121855714304,1.713861925043201,0.599176897107965,1
8.459993124008179,0.022077746888462,0.081558153588497,1.544147521466048,-0.284310995585852,0.304840347254445,-0.062551428610631,-1.998722015879951,1.937442081947162,-0.529886333317206,-5.866192388847927,5.627468992145610,-4.353620819140760,1.719851876363208,0.604446339876225,1
8.469994306564331,0.019132947425414,0.084705216672094,1.543494584863966,-0.304588845269758,0.324502006637283,-0.068079217354121,-2.054997363932557,1.993924161759481,-0.576325768202791,-5.391640512931401,5.664447808774525,-4.919425730801478,1.725923863008531,0.609612018058922,1
8.480039834976196,0.015970086574287,0.088065013208114,1.542781096683171,-0.325487290041395,0.344809052267788,-0.074122710065075,-2.106884686183123,2.050948401990978,-0.628265224216564,-4.948955970646452,5.692296440037825,-5.414066759820902,1.732070461895031,0.614666425705431,1
8.490007400512695,0.012619317065972,0.091605789524788,1.542009921295420,-0.346732932967031,0.365541161856168,-0.080663152707371,-2.154170015973537,2.107803188244433,-0.684403670294208,-4.541352969058379,5.710896564689429,-5.835617886470949,1.738223428260768,0.619555345479354,1
8.499991655349731,0.009048813133885,0.095362005447829,1.541169338148416,-0.368463813784039,0.386873947585360,-0.087794520615982,-2.197607912293259,2.164886325691477,-0.744506402470728,-4.163657469762634,5.720623924493028,-6.191318636202371,1.744434019972697,0.624321944560127,1
8.509997367858887,0.005251640476201,0.099341973726978,1.540252673433972,-0.390662476663569,0.408815188852686,-0.095547051538531,-2.240228373857428,2.220699009447312,-0.804595749834522,-4.353708477970461,5.439464993098995,-5.816978946017032,1.750688686461455,0.625961624226185,1
8.519995450973511,0.001232866678424,0.103541435076648,1.539256168998703,-0.413281988348624,0.431286502848762,-0.103876306587792,-2.284596411161325,2.273784385217461,-0.860863624316494,-4.516288202597016,5.183385136006093,-5.437998105836512,1.756955253262436,0.627521489710144,1
8.531390428543091,-0.003626023069294,0.108604926031458,1.538015269674033,-0.439612131617644,0.457527466232865,-0.114029729584186,-2.336951862586626,2.331328896445982,-0.920363894996426,-4.666688358641858,4.921525606272065,-5.004884573190470,1.764115756422029,0.629220562608362,1
8.539989471435547,-0.007493055335041,0.112625820498454,1.537000203053288,-0.459880819830779,0.477753813132479,-0.122124756540688,-2.377480883182236,2.372871896034429,-0.961993388637600,-4.756691165511057,4.743716800719295,-4.677729937758425,1.769531608974363,0.630447189565819,1
8.550034761428833,-0.012233567511211,0.117545629663137,1.535724082517115,-0.484005343156701,0.501826671819419,-0.132018082707944,-2.425691480921313,2.419565133339579,-1.007064529609011,-4.837443447739632,4.556101320225556,-4.295721658495762,1.775871732674068,0.631819743359566,1
8.559995174407959,-0.017175222466668,0.122664419839089,1.534358582385475,-0.508405437364608,0.526147957147747,-0.142254945803494,-2.474166294475471,2.464099725128404,-1.047965374106277,-4.892743212038116,4.390048464507396,-3.917717687264516,1.782170975945608,0.633116262061899,1
8.570023775100708,-0.022397405033849,0.128063881837228,1.532879096911208,-0.533456485432876,0.551069862392153,-0.152952405572044,-2.523193161679300,2.507362010832561,-1.085837285750825,-4.802490224458189,4.246879912932080,-3.834972666226465,1.788522439707674,0.633090309607475,1
8.580126523971558,-0.027918357954636,0.133761946441870,1.531277176797264,-0.559196143623574,0.576624798874905,-0.164130363630136,-2.570008306839270,2.549640741629464,-1.127025128976059,-4.463751393233329,4.120057596897032,-4.304442893165662,1.794907543872146,0.630498988883183,1
8.589994668960571,-0.033562422600217,0.139576960869104,1.529601933651096,-0.584769451538970,0.601983630106738,-0.175468233569078,-2.612465983872685,2.589690537101803,-1.171494170594849,-4.142854372819871,3.997058556077118,-4.697697774017166,1.801116999818046,0.627989348946924,1
8.600001335144043,-0.039545491362758,0.145731129646250,1.527786629468900,-0.611113637316459,0.628095846400343,-0.187432045928719,-2.652334813566952,2.629066917643319,-1.220234223922866,-3.827225249757464,3.873091829387683,-5.033470810164039,1.807388433358992,0.625465275714298,1
8.612940788269043,-0.047675891161108,0.154079348275069,1.525257504152908,-0.645740762440679,0.662432401195943,-0.203651967439000,-2.699289369062165,2.678148199894730,-1.287696061631950,-3.433417678252345,3.713803016784956,-5.377972161283822,1.815460213886064,0.622232661510677,1
