Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00648816, 0.003352, 0.00081471, 6.1675e-05, 84398, 13679, 2739
0.0042746, 0.00250691, 0.00065443, 5.2039e-05, 84997, 15151, 2772
0.0057849, 0.00347526, 0.0012925, 9.4169e-05, 85620, 16749, 4389
0.00584534, 0.00400441, 0.000823787, 9.3395e-05, 87633, 17828, 5808
0.00670588, 0.00378465, 0.00112827, 0.000113382, 86875, 17561, 5775
0.00769292, 0.00380862, 0.00121851, 0.000121063, 84706, 17487, 5346
0.00895328, 0.00374839, 0.00172621, 0.000180956, 79599, 19076, 9867
0.0149872, 0.00244892, 0.00109943, 0.000211926, 78517, 20500, 17655
0.0125993, 0.00237211, 0.00165976, 0.000305092, 77301, 21266, 19998
0.0110037, 0.0031269, 0.00432522, 0.00027572, 76131, 21304, 17853
0.0103644, 0.00224235, 0.00106037, 0.00020095, 75462, 20506, 17391
0.00720494, 0.00344944, 0.00102673, 0.000184339, 76798, 19960, 14685
0.0140174, 0.0044269, 0.00190863, 0.000328903, 80139, 20876, 18480
0.00771289, 0.00330165, 0.00263567, 0.000428457, 84739, 20892, 16038
0.00688702, 0.0038697, 0.00109497, 0.000164389, 87072, 20111, 13068
0.0147591, 0.00389261, 0.0013997, 0.000255666, 84031, 18396, 14025
0.00671697, 0.00405933, 0.00127844, 0.000148255, 83572, 16859, 7392
0.00503983, 0.00234549, 0.000857883, 0.000141154, 84448, 16914, 11220
0.00535144, 0.00248703, 0.00103382, 0.000188219, 89273, 18511, 15576
0.00747398, 0.0036871, 0.00152819, 0.000285028, 90777, 19431, 18810
0.00665893, 0.00367064, 0.00114322, 0.000232156, 91483, 19879, 20889
0.00832279, 0.00368752, 0.00151852, 0.000259256, 93597, 19240, 18579
0.011419, 0.00390086, 0.00172079, 0.000347992, 97643, 18320, 24783
0.0067616, 0.00316622, 0.00156438, 0.0003754, 95077, 17872, 38841
0.0136428, 0.00359338, 0.00211683, 0.00059883, 92627, 17460, 48873
0.0103581, 0.00418635, 0.0023805, 0.000560881, 91800, 18791, 40491
0.00756852, 0.00264848, 0.00189302, 0.000516047, 88702, 20379, 53328
0.00969515, 0.00399539, 0.00273036, 0.000785456, 83661, 21341, 62403
0.00728098, 0.0024852, 0.00205618, 0.000574625, 78230, 21370, 53823
0.00799411, 0.00256775, 0.00304428, 0.000954047, 75314, 21289, 73491
0.00893962, 0.00267222, 0.00201893, 0.000813374, 73980, 21119, 87714
0.00821815, 0.00284314, 0.00170285, 0.000717719, 75270, 20309, 76065
0.00723353, 0.00249722, 0.00230845, 0.000802563, 77042, 19457, 66132
0.00759089, 0.00252046, 0.00196474, 0.000756056, 78507, 19363, 69630
0.00860248, 0.00375091, 0.00178338, 0.000732071, 79613, 19082, 63162
0.00781087, 0.00291018, 0.00197931, 0.000838988, 81584, 19181, 79431
0.0120182, 0.00274798, 0.00164986, 0.000600858, 81629, 19369, 59598
0.014558, 0.00330521, 0.00231188, 0.000830006, 79836, 19656, 65274
0.0153301, 0.00321843, 0.00284864, 0.00108645, 75557, 20095, 82995
0.0149324, 0.00258531, 0.00211635, 0.000758538, 73921, 20196, 78540
0.0150684, 0.00421228, 0.00295272, 0.000952378, 71560, 20814, 67485
0.0102706, 0.00403274, 0.0033052, 0.00115811, 69039, 21794, 84645
0.00803826, 0.0026004, 0.00270304, 0.000829652, 67278, 21810, 75735
0.00996008, 0.00299475, 0.00234116, 0.00106152, 68122, 21234, 91839
0.00800462, 0.0027344, 0.00243929, 0.000938207, 68242, 21402, 85041
0.0127166, 0.0022769, 0.00317673, 0.00100365, 68355, 22103, 75372
0.00880597, 0.00346799, 0.0027008, 0.000818158, 69669, 22182, 67485
0.0116181, 0.0025902, 0.00213312, 0.00088558, 70591, 21720, 80124
